instance algorithm localsearch alpha beta rho ants q0 rasrank elitistants nnls dlb val
121 eas 2 3.24 4.74 0.63 75 NA NA 683 50 1 32926216
121 as 2 1.83 7.87 0.69 36 NA NA NA 6 1 33741984
121 acs 3 1.47 3.6 0.9 98 0.69 NA NA 50 0 33260438
121 eas 3 0.13 1.48 0.19 8 NA NA 560 24 0 33153086
121 acs 0 0.38 4.38 0.96 46 0.76 NA NA NA NA 39093734
121 ras 0 4.43 9.6 0.05 74 NA 84 NA NA NA 38462074
121 eas 1 2.44 0.57 0.79 81 NA NA 217 18 0 33211931
121 ras 0 2.64 9.79 0.36 95 NA 44 NA NA NA 37917758
121 as 3 2.09 4.45 0.56 8 NA NA NA 43 1 32830149
121 acs 2 3.53 4.8 0.74 60 0.51 NA NA 12 1 32628595
121 mmas 2 3.16 4.83 0.94 80 NA NA NA 19 1 33881012
121 ras 0 0.23 2.13 0.88 24 NA 36 NA NA NA 50668075
121 acs 1 2.52 7.31 0.55 41 0.47 NA NA 27 0 33106656
121 ras 2 4.08 3.44 0.38 78 NA 90 NA 7 1 33088191
121 mmas 3 1.76 4.27 0.67 87 NA NA NA 28 0 33157069
121 eas 0 1.2 7.31 0.54 83 NA NA 620 NA NA 38669173
121 eas 3 2.56 5.0 0.32 67 NA NA 565 13 1 32555783
121 mmas 3 2.69 8.74 0.6 43 NA NA NA 9 0 32694014
121 as 3 3.7 2.45 0.54 100 NA NA NA 27 0 33360618
121 acs 1 0.21 6.24 0.64 61 0.97 NA NA 26 1 33757522
121 as 2 0.51 2.82 0.62 73 NA NA NA 9 1 34049687
121 eas 1 4.08 8.24 0.37 16 NA NA 661 24 0 33423699
121 eas 3 3.67 6.3 0.55 20 NA NA 76 47 0 32893115
121 acs 3 3.2 7.85 0.08 63 0.17 NA NA 7 1 33092610
121 ras 0 3.48 2.03 0.74 83 NA 33 NA NA NA 41299190
121 as 1 2.03 3.39 0.02 42 NA NA NA 5 0 34163958
121 ras 0 2.81 3.39 0.06 75 NA 54 NA NA NA 38910708
121 eas 1 4.37 7.37 0.02 21 NA NA 537 12 1 33259652
121 eas 1 1.28 1.2 0.7 29 NA NA 254 37 0 33207947
121 as 3 3.13 0.64 0.74 72 NA NA NA 25 1 32609625
121 eas 2 0.65 7.16 0.86 28 NA NA 705 49 1 33476227
121 as 2 2.56 2.92 0.64 79 NA NA NA 44 1 33068980
121 mmas 1 4.41 1.14 0.72 88 NA NA NA 21 0 33988325
121 as 1 1.34 2.58 0.51 39 NA NA NA 48 1 33915405
121 eas 1 3.42 5.61 0.57 50 NA NA 109 23 0 33072303
121 acs 0 3.83 3.77 0.12 63 0.43 NA NA NA NA 41956319
121 mmas 3 0.16 3.07 0.65 57 NA NA NA 9 1 33381525
121 as 2 3.61 3.64 0.99 52 NA NA NA 48 1 33052811
121 acs 3 1.95 0.73 0.19 98 0.68 NA NA 19 0 33039014
121 as 3 4.64 2.81 0.85 39 NA NA NA 24 1 32639178
121 acs 1 4.94 1.09 0.19 93 0.34 NA NA 49 1 34169579
121 ras 0 4.1 0.42 0.27 13 NA 96 NA NA NA 77123756
121 ras 3 4.25 3.46 0.59 94 NA 82 NA 8 1 32582600
121 acs 2 0.61 2.62 0.13 30 0.18 NA NA 21 0 33656223
121 eas 1 3.36 8.64 0.74 64 NA NA 669 26 1 33177695
121 as 3 4.71 6.5 0.31 31 NA NA NA 39 0 32862838
121 eas 3 1.74 2.19 0.7 84 NA NA 100 45 1 32818353
121 as 1 0.7 0.6 0.68 66 NA NA NA 10 1 34928750
121 ras 0 4.67 3.7 0.97 32 NA 62 NA NA NA 41116680
121 eas 3 3.08 9.82 0.44 42 NA NA 148 5 0 32921618
121 ras 0 1.86 6.07 0.01 26 NA 3 NA NA NA 40819128
121 ras 0 2.32 1.17 0.93 87 NA 57 NA NA NA 41213218
121 mmas 0 2.08 4.21 0.05 35 NA NA NA NA NA 42918731
121 mmas 1 0.02 9.73 0.67 39 NA NA NA 14 1 34088295
121 acs 2 0.2 7.28 0.49 32 0.65 NA NA 34 0 33401248
121 ras 3 0.47 3.92 0.86 42 NA 5 NA 9 0 33042699
121 ras 0 3.73 5.77 0.44 94 NA 1 NA NA NA 38789338
121 as 1 4.28 5.24 0.35 97 NA NA NA 39 0 33517692
121 as 1 2.55 3.96 0.79 5 NA NA NA 26 1 33223003
121 as 0 1.75 5.07 0.5 87 NA NA NA NA NA 38244243
121 mmas 3 4.2 8.93 0.26 26 NA NA NA 13 0 32884404
121 ras 0 1.88 2.34 0.67 81 NA 95 NA NA NA 39410376
121 acs 1 3.87 5.24 0.19 88 0.42 NA NA 49 0 33554060
121 as 2 3.03 9.9 0.53 11 NA NA NA 36 0 33186901
121 ras 2 0.53 7.54 0.69 94 NA 75 NA 24 1 33734428
121 acs 2 0.73 8.34 0.03 30 0.5 NA NA 24 1 33448812
121 ras 3 3.59 8.1 0.16 84 NA 48 NA 26 1 32792438
121 as 2 2.58 9.97 0.44 69 NA NA NA 32 0 33302168
121 as 1 4.51 7.37 0.01 98 NA NA NA 44 0 33543801
121 as 2 3.1 5.94 0.93 35 NA NA NA 42 0 32936278
121 acs 1 2.37 6.84 0.29 81 0.13 NA NA 16 0 33554539
121 as 0 1.55 5.46 0.45 47 NA NA NA NA NA 38759126
121 acs 2 3.84 6.01 0.28 86 0.96 NA NA 14 0 33083876
121 eas 0 2.11 4.48 0.25 95 NA NA 473 NA NA 42155059
121 acs 2 1.1 9.05 0.56 98 0.95 NA NA 10 1 33473731
121 mmas 1 3.88 1.24 0.21 79 NA NA NA 48 0 33353232
121 mmas 3 2.13 0.38 0.98 30 NA NA NA 12 1 33262734
121 eas 3 2.09 5.11 0.22 92 NA NA 553 46 0 33006751
121 mmas 1 1.14 5.45 0.78 10 NA NA NA 49 1 32829836
121 mmas 0 0.75 5.2 0.36 17 NA NA NA NA NA 40331090
121 as 2 0.86 3.67 0.11 28 NA NA NA 29 0 33388112
121 as 1 4.31 0.04 0.87 93 NA NA NA 7 0 33455105
121 ras 0 4.53 6.73 0.36 11 NA 41 NA NA NA 41637964
121 acs 1 2.01 7.18 0.19 65 0.93 NA NA 7 1 33416062
121 eas 0 2.34 6.55 0.49 88 NA NA 111 NA NA 38915958
121 mmas 0 4.32 2.23 0.66 17 NA NA NA NA NA 51567314
121 eas 0 3.35 0.65 0.51 20 NA NA 305 NA NA 70628071
121 eas 1 3.91 5.74 0.62 37 NA NA 591 5 0 33789774
121 as 0 2.46 5.4 0.17 28 NA NA NA NA NA 37910519
121 mmas 2 3.34 4.7 0.9 93 NA NA NA 9 1 33608689
121 eas 2 1.87 5.46 0.31 24 NA NA 386 17 0 32830451
121 acs 2 1.24 7.13 0.33 50 0.94 NA NA 42 0 32920942
121 eas 2 3.45 1.62 0.97 65 NA NA 745 34 0 33700903
121 as 3 3.02 0.5 0.91 84 NA NA NA 22 0 32815221
121 mmas 0 1.16 1.91 0.93 5 NA NA NA NA NA 53620491
121 as 1 0.13 8.28 0.62 30 NA NA NA 31 1 34077745
121 as 0 4.46 6.1 0.48 22 NA NA NA NA NA 39063716
121 ras 3 0.06 1.29 0.13 28 NA 74 NA 6 1 33947042
121 eas 3 4.12 3.37 0.47 98 NA NA 62 19 0 33044384
121 mmas 0 4.14 3.53 0.11 17 NA NA NA NA NA 40480308
121 eas 1 4.67 1.1 0.29 27 NA NA 658 24 0 34038754
121 acs 2 2.07 4.14 0.55 98 0.86 NA NA 33 0 33192574
121 ras 0 0.36 8.89 0.28 93 NA 49 NA NA NA 39034442
121 eas 1 1.83 8.31 0.61 32 NA NA 322 29 1 32872209
121 ras 0 3.91 5.28 0.13 12 NA 64 NA NA NA 42089613
121 acs 1 0.38 1.29 0.02 78 0.27 NA NA 34 0 34581784
121 acs 0 0.98 8.79 0.23 87 0.73 NA NA NA NA 38414954
121 mmas 1 1.2 6.53 0.86 65 NA NA NA 8 0 32770431
121 ras 0 2.6 5.03 0.57 59 NA 7 NA NA NA 39496357
121 eas 2 2.75 2.38 0.72 85 NA NA 167 44 0 32880823
121 eas 2 1.66 9.37 0.04 52 NA NA 470 9 0 33141710
121 acs 2 4.59 9.81 0.61 8 0.89 NA NA 12 1 32864928
121 mmas 1 4.49 4.84 0.61 23 NA NA NA 14 0 33435803
121 mmas 2 1.31 0.57 0.36 36 NA NA NA 43 0 33544095
121 as 2 4.84 5.83 0.42 62 NA NA NA 45 0 33095492
121 ras 2 4.35 9.56 0.54 54 NA 87 NA 48 1 33037863
121 acs 2 2.62 5.56 0.27 54 0.32 NA NA 32 0 32905606
121 eas 0 4.61 8.64 0.07 66 NA NA 367 NA NA 39734119
121 as 0 4.67 5.09 0.91 27 NA NA NA NA NA 39613098
121 mmas 3 2.49 8.86 0.66 89 NA NA NA 32 0 33121928
121 mmas 1 1.19 3.88 0.38 52 NA NA NA 47 0 33668579
121 eas 1 4.91 0.58 0.02 57 NA NA 438 19 0 34081488
121 eas 3 4.28 2.2 0.21 78 NA NA 749 35 1 32701750
121 ras 2 1.75 3.46 0.25 79 NA 38 NA 34 0 33346108
121 acs 3 3.76 3.44 0.32 84 0.92 NA NA 10 0 32772183
121 eas 1 1.39 4.97 0.23 56 NA NA 354 6 0 33442271
121 acs 3 4.32 8.66 0.73 17 0.79 NA NA 28 0 32866542
121 eas 1 4.27 9.2 0.4 97 NA NA 57 20 1 33163370
121 acs 3 3.92 4.89 0.15 79 0.24 NA NA 9 0 32904253
121 mmas 3 0.43 1.5 0.78 27 NA NA NA 44 1 33222469
121 ras 3 0.01 8.22 0.12 13 NA 24 NA 5 0 33404653
121 as 3 1.31 7.58 0.06 93 NA NA NA 48 0 33101093
121 mmas 3 4.55 2.1 0.88 16 NA NA NA 31 0 33273218
121 mmas 0 4.9 4.97 0.75 72 NA NA NA NA NA 41507582
