instance ASCENT_CANDIDATES BACKBONE_TRIALS BACKTRACKING CANDIDATE_SET_TYPE EXTRA_CANDIDATES EXTRA_CANDIDATE_SET_TYPE GAIN23 GAIN_CRITERION INITIAL_STEP_SIZE INITIAL_TOUR_ALGORITHM KICK_TYPE KICKS MAX_CANDIDATES MOVE_TYPE PATCHING_A PATCHING_C POPULATION_SIZE RESTRICTED_SEARCH SUBGRADIENT SUBSEQUENT_MOVE_TYPE SUBSEQUENT_PATCHING result
121 455 2 NO NEAREST-NEIGHBOR 4 QUADRANT NO YES 1 WALK 17 2 5 10 5 2 792 NO NO 4 NO 32563278
121 255 0 NO QUADRANT 5 QUADRANT YES YES 5 GREEDY 4 3 12 14 20 5 986 NO NO 5 YES 36437049
121 333 4 YES DELAUNAY 3 NEAREST-NEIGHBOR YES NO 3 WALK 19 3 19 7 18 1 784 YES NO 5 YES 34535042
121 69 5 NO QUADRANT 6 NEAREST-NEIGHBOR YES NO 2 GREEDY 4 3 14 13 10 1 331 NO NO 0 YES 37051105
121 93 1 YES QUADRANT 1 NEAREST-NEIGHBOR YES NO 4 QUICK-BORUVKA 14 1 20 3 16 4 480 NO NO 6 YES 37470468
121 54 3 NO QUADRANT 19 QUADRANT YES NO 4 BORUVKA 4 3 5 17 9 5 853 YES NO 6 YES 37009375
121 205 5 NO NEAREST-NEIGHBOR 7 QUADRANT YES YES 4 GREEDY 16 4 19 3 15 2 562 NO NO 6 NO 33245931
121 432 3 YES DELAUNAY 4 NEAREST-NEIGHBOR YES NO 3 QUICK-BORUVKA 9 1 7 2 17 1 152 YES NO 5 NO 32493517
121 26 5 NO ALPHA 3 NEAREST-NEIGHBOR NO NO 4 GREEDY 18 2 14 8 20 4 398 NO NO 5 NO 36793627
121 58 1 YES NEAREST-NEIGHBOR 18 QUADRANT NO NO 1 NEAREST-NEIGHBOR 6 3 19 15 6 4 833 NO NO 0 YES 40829601
121 434 2 NO ALPHA 4 NEAREST-NEIGHBOR YES NO 2 BORUVKA 20 3 19 9 15 3 904 NO NO 4 NO 36448189
121 37 2 YES QUADRANT 2 QUADRANT YES NO 5 SIERPINSKI 13 1 9 4 8 4 88 YES NO 0 NO 34336038
121 71 1 NO ALPHA 0 QUADRANT YES YES 3 MOORE 17 5 11 6 17 1 413 YES NO 0 NO 32285014
121 28 5 NO DELAUNAY 2 NEAREST-NEIGHBOR YES YES 5 SIERPINSKI 7 1 20 13 11 2 941 NO NO 3 NO 41411046
121 39 2 NO ALPHA 1 QUADRANT NO YES 2 WALK 4 4 18 8 4 4 525 YES NO 3 YES 32353617
121 406 1 NO QUADRANT 8 NEAREST-NEIGHBOR NO NO 2 SIERPINSKI 16 1 13 14 12 1 383 YES NO 5 YES 42593150
121 334 3 NO ALPHA 7 NEAREST-NEIGHBOR YES NO 2 SIERPINSKI 14 1 15 16 16 2 79 NO NO 6 YES 42315561
121 283 4 YES QUADRANT 11 NEAREST-NEIGHBOR NO YES 1 GREEDY 6 1 12 4 20 3 301 YES NO 6 NO 34284586
121 216 1 YES ALPHA 4 QUADRANT NO NO 1 GREEDY 16 1 9 14 2 2 141 YES NO 2 NO 36502662
121 28 3 YES DELAUNAY 1 NEAREST-NEIGHBOR YES NO 5 SIERPINSKI 9 2 13 11 3 2 95 YES NO 0 YES 41948875
121 355 2 YES ALPHA 8 QUADRANT YES NO 2 QUICK-BORUVKA 6 3 8 16 19 2 257 YES NO 3 YES 42648548
121 370 0 NO ALPHA 8 NEAREST-NEIGHBOR NO YES 4 GREEDY 6 2 14 20 18 1 251 NO NO 0 YES 37907928
121 358 5 YES NEAREST-NEIGHBOR 18 NEAREST-NEIGHBOR NO NO 2 GREEDY 20 4 6 19 16 5 737 YES NO 2 YES 36926457
121 274 5 NO ALPHA 3 NEAREST-NEIGHBOR YES YES 2 WALK 8 5 18 7 18 5 635 NO NO 5 YES 32262864
121 148 2 YES DELAUNAY 8 NEAREST-NEIGHBOR NO YES 5 SIERPINSKI 7 1 18 19 6 4 815 NO NO 0 NO 42212041
121 223 5 YES NEAREST-NEIGHBOR 17 NEAREST-NEIGHBOR NO YES 4 QUICK-BORUVKA 5 2 3 18 6 5 565 NO NO 5 NO 38731757
121 258 1 YES QUADRANT 10 QUADRANT NO YES 4 NEAREST-NEIGHBOR 11 1 5 11 16 4 575 NO NO 2 YES 36054917
121 109 2 YES DELAUNAY 17 QUADRANT YES NO 4 NEAREST-NEIGHBOR 17 3 3 10 13 3 660 NO NO 5 NO 35116172
121 92 4 YES ALPHA 19 NEAREST-NEIGHBOR YES YES 5 MOORE 16 4 10 10 2 5 155 NO NO 6 YES 41600225
121 126 2 NO QUADRANT 15 QUADRANT NO NO 5 SIERPINSKI 17 1 6 19 13 4 982 NO NO 3 YES 42535115
121 434 2 NO DELAUNAY 9 NEAREST-NEIGHBOR NO YES 1 NEAREST-NEIGHBOR 14 4 13 5 13 3 110 NO NO 6 YES 33006257
121 298 0 NO QUADRANT 16 QUADRANT NO NO 2 MOORE 17 3 3 6 4 4 795 NO NO 5 NO 40359476
121 462 3 YES DELAUNAY 9 QUADRANT NO NO 4 QUICK-BORUVKA 14 4 12 9 16 4 473 YES NO 2 YES 37316844
121 153 5 YES ALPHA 5 NEAREST-NEIGHBOR YES YES 1 QUICK-BORUVKA 14 4 7 2 7 1 373 YES NO 2 YES 32507375
121 363 1 NO QUADRANT 17 NEAREST-NEIGHBOR YES NO 2 QUICK-BORUVKA 17 3 13 11 9 1 55 YES NO 4 YES 38676814
121 82 2 YES QUADRANT 9 QUADRANT NO YES 1 BORUVKA 16 3 11 18 7 3 693 NO NO 4 YES 37530294
121 404 4 YES QUADRANT 6 QUADRANT YES NO 5 SIERPINSKI 20 4 3 15 20 3 257 YES NO 5 YES 39194401
